date,pm25,pm10,no2,so2,o3,co,station,lat,lon,split,t2m,blh,u10,v10,sp,tp,msdwswrf,rh,wind_speed,vi
2024-01-28,107.27083333333331,198.54166666666663,95.45708333333334,19.39583333333333,111.59125,2.2191666666666667,chhoti gwaltoli indore India,22.7203616,75.8681996,train,293.4526585,374.0760296,0.627236493,0.96133871,95784.93586,0.0,218.3776158,55.51408061,1.147866600914672,429.3893805806083
2024-01-29,110.5,193.21875,100.88375,18.46625,94.5225,2.092916666666667,chhoti gwaltoli indore India,22.7203616,75.8681996,train,293.0529957,458.6418986,1.409952132,-1.226965238,95746.46706,0.0,218.1583186,51.64036292,1.8690662668273008,857.2321012268874
2024-01-30,76.84375,157.5,80.16875,24.859583333333333,83.29,2.05125,chhoti gwaltoli indore India,22.7203616,75.8681996,train,293.1621358,494.2719693,-1.28920722,-0.575046449,95663.55654,0.0,217.1785273,55.42824526,1.4116421907153518,697.7351655518431
2024-01-31,93.33333333333331,180.34375,100.0025,12.965416666666668,74.2575,2.6875,chhoti gwaltoli indore India,22.7203616,75.8681996,train,292.7890954,518.8954123,0.697361388,0.205196804,95565.17899,0.0,191.2802565,58.59192756,0.7269240908410596,377.19757582777424
2023-01-10,,,,,,,city center gwalior India,26.2037247,78.1573628,train,302.0891587,412.6371259,0.946863924,-1.402718369,97958.8381,0.0,238.4265732,68.41421964,1.692385923275982,698.3412632942191
2023-03-10,,,,,,,city center gwalior India,26.2037247,78.1573628,train,300.7135369,337.6662663,1.514824931,-1.49210048,98170.37915,0.0,253.8644032,53.18710498,2.126278066010037,717.9723756651944
2023-04-10,,,,,,,city center gwalior India,26.2037247,78.1573628,train,300.1694992,411.167517,2.117850964,-1.449513707,98183.76787,0.0,252.9743814,59.04692552,2.5663948824170864,1055.2182114449404
2023-05-10,,,,,,,city center gwalior India,26.2037247,78.1573628,train,300.7174819,330.2847508,1.685346514,-0.397087762,98093.42131,0.0,251.6630374,58.26852795,1.7314940262623262,571.8860729757411
2023-06-10,,,,,,,city center gwalior India,26.2037247,78.1573628,train,301.749815,282.4371217,1.329897217,0.459302874,98039.60715,0.0,248.411429,56.43554101,1.4069775186011342,397.3826806503125
2023-07-10,,,,,,,city center gwalior India,26.2037247,78.1573628,train,302.1692509,305.9670471,2.330735293,-0.200771428,98185.46501,0.0,241.1340793,56.03516849,2.3393666177700654,715.7690961234213
2023-08-10,,,,,,,city center gwalior India,26.2037247,78.1573628,train,302.7977512,385.1482033,3.281206546,0.283259561,98255.81524,0.0,239.3436231,54.89919156,3.293410447607641,1268.4511166255315
2023-09-10,,,,,,,city center gwalior India,26.2037247,78.1573628,train,302.6410367,410.4859715,3.261262876,0.557281084,98348.48392,0.0,237.3844226,57.12032909,3.3085340791595312,1358.1068257246582
2023-10-10,25.55208333333333,86.82986111111113,2.919791666666667,23.037152777777777,63.696875,0.7044444444444444,city center gwalior India,26.2037247,78.1573628,train,302.5731374,443.0456272,2.498388334,0.526042957,98408.89823,0.0,237.0152993,56.01778684,2.5531677305019738,1131.1697985070475
