station,date,lat,lon,elevation,doy,pm25,pm10,no2,so2,o3,co,u10,v10,t2m,blh,rh,ventilation_index,lag_PM25_D1,lag_PM25_D2,lag_AOD_D1,lag_NO2_D1,lag_CO_D1,split
mahakaleshwar temple ujjain India,2023-12-14,23.1817124,75.7703821,498.0,348,68.47916666666667,141.42708333333334,26.526041666666668,10.202430555555557,79.20625000000001,0.9503819444444443,-1.676072979,0.120381713,292.4417127,449.6644505,61.25303449,755.6118915824733,55.270833333333336,54.75,0.10110318660736084,2.0393228624016047e-05,0.03308767452836037,train
mahakaleshwar temple ujjain India,2023-12-15,23.1817124,75.7703821,498.0,349,72.41666666666667,148.64583333333334,24.22743055555556,11.961805555555555,70.2125,0.9702083333333336,-1.543515388,0.539806441,293.6287862,495.7241913,61.88257346,810.6008773329354,68.47916666666667,55.270833333333336,0.2145010232925415,2.2045316654839553e-05,0.024767544120550156,train
mahakaleshwar temple ujjain India,2023-12-16,23.1817124,75.7703821,498.0,350,82.22916666666667,163.19791666666666,27.062847222222228,11.186111111111112,32.98750000000001,0.949375,-0.910401958,0.426254962,293.2011633,528.9359007,62.7777266,531.7121446908521,72.41666666666667,68.47916666666667,0.3562789857387543,1.9971263100160286e-05,0.008816057816147804,train
mahakaleshwar temple ujjain India,2023-12-17,23.1817124,75.7703821,498.0,351,78.45833333333333,157.51041666666666,22.87013888888889,11.108680555555557,9.940625000000008,1.0016666666666667,-1.928188763,-0.947893178,291.7874205,589.9325431,61.54800229,1267.519647565945,82.22916666666667,72.41666666666667,1.0898659229278564,1.0265418495691847e-05,0.038710128515958786,train
mahakaleshwar temple ujjain India,2023-12-18,23.1817124,75.7703821,498.0,352,60.25,139.29166666666666,22.48958333333333,11.365625,9.787500000000009,0.8808333333333334,-2.288353446,-1.39416048,290.7195579,524.9303078,56.28096285,1406.6021535743002,78.45833333333333,82.22916666666667,0.6280664801597595,1.397738105879398e-05,0.03737515211105347,train
mahakaleshwar temple ujjain India,2023-12-19,23.1817124,75.7703821,498.0,353,69.36458333333333,145.98958333333334,20.815625,12.348958333333334,98.63125,0.9613541666666668,-2.388964549,-1.253019921,289.7215511,396.8528734,55.78398351,1070.5624317929444,60.25,78.45833333333333,0.10578412562608719,1.7706031940178946e-05,0.02594396471977234,train
mahakaleshwar temple ujjain India,2023-12-20,23.1817124,75.7703821,498.0,354,58.46875,127.11458333333331,17.603472222222223,10.967361111111112,91.009375,0.8559375,-2.315049157,-0.597998652,290.9239044,288.2040529,50.36260996,689.1063763499999,69.36458333333333,60.25,1.0367238521575928,1.2939707630721387e-05,0.0,train
mahakaleshwar temple ujjain India,2023-12-21,23.1817124,75.7703821,498.0,355,74.76041666666667,159.70833333333334,26.452430555555555,16.87465277777778,82.30312500000001,1.1865277777777778,-1.867290801,-0.583595286,291.7646461,263.0635554,50.66293748,514.6479547197633,58.46875,69.36458333333333,0.23419421911239624,2.592567579995375e-05,0.0,train
mahakaleshwar temple ujjain India,2023-12-22,23.1817124,75.7703821,498.0,356,85.19791666666667,178.71875,27.423263888888886,13.671527777777778,49.571875000000006,1.1781597222222222,-2.125313563,-0.073629353,290.7987988,181.2732647,58.02019735,385.4936560240659,74.76041666666667,58.46875,,0.0,0.0,train
mahakaleshwar temple ujjain India,2023-12-23,23.1817124,75.7703821,498.0,357,103.28125,194.125,29.124305555555555,15.69375,40.69375000000001,1.2427777777777778,-1.969566877,-0.275455412,292.5572575,277.0829511,51.82373827,551.0447345973647,85.19791666666667,74.76041666666667,,0.0,0.0,train
mahakaleshwar temple ujjain India,2023-12-24,23.1817124,75.7703821,498.0,358,126.65625,219.8958333333333,22.292708333333337,13.576388888888888,51.54687500000001,1.2382986111111112,-1.789606414,-0.75174218,292.775425,278.5305332,57.41035489,540.6511849788177,103.28125,85.19791666666667,0.039964597672224045,3.087648292421363e-05,0.02985357493162155,train
mahakaleshwar temple ujjain India,2023-12-25,23.1817124,75.7703821,498.0,359,157.33333333333334,247.9270833333333,24.55555555555556,15.270486111111111,68.8625,1.4026041666666669,-1.614417551,-0.57691002,292.7705912,319.3979421,60.04078861,547.57600334929,126.65625,103.28125,0.10282540321350098,4.5993077947059646e-05,0.03660278767347336,train
mahakaleshwar temple ujjain India,2023-12-26,23.1817124,75.7703821,498.0,360,137.07291666666666,227.84375,26.98298611111112,15.189583333333331,22.159375000000008,1.403888888888889,-1.528316704,0.476646831,293.9112438,368.7508258,57.56810594,590.340491747512,157.33333333333334,126.65625,0.15431618690490723,3.694011684274301e-05,0.04178909584879875,train
mahakaleshwar temple ujjain India,2023-12-27,23.1817124,75.7703821,498.0,361,119.54166666666669,206.59375,22.127430555555552,16.240972222222222,136.66875,1.133715277777778,-1.654853898,-0.021604801,294.1220034,439.9237638,59.41280161,728.0715950639237,137.07291666666666,157.33333333333334,0.17669233679771423,2.605865302029997e-05,0.03960881009697914,train
mahakaleshwar temple ujjain India,2023-12-28,23.1817124,75.7703821,498.0,362,88.51041666666667,162.05208333333334,19.587847222222223,12.084027777777775,122.490625,1.0191319444444444,-2.138389168,-0.229572708,293.2457342,404.2534697,59.8505864,869.4186680011978,119.54166666666669,137.07291666666666,0.2879696488380432,4.1388138924958184e-05,0.02617490291595459,train
mahakaleshwar temple ujjain India,2023-12-29,23.1817124,75.7703821,498.0,363,95.28125,170.40625,20.688888888888886,15.49340277777778,145.83437500000002,1.0853125,-1.823887307,0.530521521,293.3569642,421.0165962,65.67312241,799.7119084487026,88.51041666666667,119.54166666666669,0.36008235812187195,2.868808041966986e-05,0.034604545682668686,train
mahakaleshwar temple ujjain India,2023-12-30,23.1817124,75.7703821,498.0,364,129.04545454545453,214.3125,26.667708333333334,13.679166666666667,141.0,1.3811111111111112,-0.532985329,1.610914819,294.258138,461.3934605,67.34069052,782.8910199897582,95.28125,88.51041666666667,0.48811429738998413,2.067998684651684e-05,0.04002493992447853,train
mahakaleshwar temple ujjain India,2023-12-31,23.1817124,75.7703821,498.0,365,124.45833333333331,212.85416666666663,22.90625,11.941666666666665,128.328125,1.3021180555555556,-0.147114169,1.237817706,294.4099992,479.8851121,68.17372601,598.1908444449034,129.04545454545453,95.28125,0.365739107131958,2.571710319898557e-05,0.02211853489279747,train
mahakaleshwar temple ujjain India,2024-01-01,23.1817124,75.7703821,498.0,1,111.69791666666669,165.83333333333334,12.985416666666666,8.214583333333334,72.105,1.1816666666666666,-0.504918906,-0.121248376,293.1046484,511.6947115,74.84843256,265.7091601200645,124.45833333333331,129.04545454545453,0.47556787729263306,0.0,0.017245972529053688,train
mahakaleshwar temple ujjain India,2024-01-02,23.1817124,75.7703821,498.0,2,,,,,,,-1.134086539,-0.184384359,291.6184953,421.5404202,81.62296806,484.3405634968869,111.69791666666669,124.45833333333331,0.7077900171279907,2.7468977350508794e-05,0.03302598372101784,train
mahakaleshwar temple ujjain India,2024-01-03,23.1817124,75.7703821,498.0,3,,,,,,,-1.202015655,-1.095532657,291.2690644,427.7063385,82.45733968,695.6027170873807,,111.69791666666669,0.9486823081970215,2.9370830816333182e-05,0.046710215508937836,train
mahakaleshwar temple ujjain India,2024-01-06,23.1817124,75.7703821,498.0,6,,,,,,,-2.205233848,-1.815754966,289.0339351,411.9765163,82.49169818,1176.8419389371095,,,,0.0,0.04369053617119789,train
mahakaleshwar temple ujjain India,2024-01-08,23.1817124,75.7703821,498.0,8,,,,,,,-2.080593567,0.349437748,291.9323808,308.0989811,85.8487607,650.0068067104779,,,0.6260020732879639,2.5955194359994493e-05,0.04352402687072754,train
mahakaleshwar temple ujjain India,2024-01-09,23.1817124,75.7703821,498.0,9,,,,,,,-1.362123996,-0.884475581,292.2463216,395.7153751,81.85923275,642.6786634285298,,,0.731529712677002,3.239364377805032e-05,0.01949387602508068,train
mahakaleshwar temple ujjain India,2024-01-10,23.1817124,75.7703821,498.0,10,,,,,,,-1.5657892,-1.279496629,290.6358314,275.6602214,85.0700877,557.4070147668804,,,0.7676416635513306,2.4062932425295003e-05,,train
mahakaleshwar temple ujjain India,2024-01-11,23.1817124,75.7703821,498.0,11,,,,,,,-1.545646786,-1.05069598,291.6768339,310.7347216,81.90940305,580.7486494315568,,,,0.0,0.0,train
mahakaleshwar temple ujjain India,2024-01-12,23.1817124,75.7703821,498.0,12,,,,,,,-1.178703925,-0.281341056,293.1820593,414.5369436,71.85356448,502.3421099765255,,,0.37897974252700806,1.7765405573300086e-05,0.03894004598259926,train
