date,station,t2m,blh,u10,v10,sp,tp,msdwswrf,rh
01/10/2023,90,301.2546947,438.3560302,0.145094969,-1.607754787,96774.40592,0,256.062202,65.15572208
01/10/2023,91,301.9593306,416.2407127,-0.643700938,-2.194685421,97448.91647,0,251.6935521,55.62275302
01/10/2023,92,300.2277326,445.4062865,0.513744133,-0.991437396,95747.53706,8.41E-05,224.3896677,68.33437914
01/10/2023,93,300.4652991,442.7525133,0.607767143,-1.073327354,96346.09408,1.94E-05,225.8800996,67.85047228
01/10/2023,94,300.5153056,408.1521017,1.514315444,-1.610086216,97718.10069,3.00E-05,236.7277179,66.86555005
01/10/2023,95,300.9545169,513.4821022,-0.538883599,-0.192981022,95640.99356,0,258.4706071,57.49852504
01/10/2023,96,297.9035261,308.1879804,0.100117752,-0.355077503,91352.84584,0.000490335,222.193882,81.44524878
01/10/2023,97,301.1610371,499.1492723,0.355019845,-2.254970357,95779.37419,0.000105026,214.1021756,76.04773321
02/10/2023,0,301.5140346,465.3252469,1.948341825,-1.113798436,97092.35593,0.009132825,150.1723869,82.44464845
02/10/2023,1,301.3729231,620.4254556,-0.969618567,-0.46181542,96355.90074,0,250.0274768,47.51051939
02/10/2023,2,302.9900137,664.2759785,2.209601417,4.491400446,100605.9841,0.000282812,256.8699375,75.98851673
02/10/2023,3,299.9896402,429.0884659,1.155353303,-2.47981805,98204.4737,0,243.255052,51.37651913
02/10/2023,4,300.2851455,465.29196,-3.471313582,0.850174573,98834.71355,0.013818111,105.7076128,91.75615205
02/10/2023,5,300.3283388,682.0388846,1.004454509,-1.227080586,94090.41828,0,252.7909568,55.04208385
02/10/2023,6,301.5653153,265.0407413,-0.64652001,-0.259571771,99190.74803,0.011891762,163.6484595,86.23694346
02/10/2023,7,298.3918968,817.7251063,4.009672975,-0.100802162,91449.33278,5.79E-05,251.3779154,67.90775359
02/10/2023,8,301.1904704,533.0192231,2.471746782,1.350611884,100711.3139,0.000750484,100.6066579,83.67784549
02/10/2023,9,300.7781729,397.5581074,-1.969000921,2.196288254,100331.3889,0.014162728,121.0330483,91.24445223
02/10/2023,10,300.7709441,396.0627703,-1.908702168,2.233443063,100341.5704,0.014270479,119.8930665,91.27445961
02/10/2023,11,299.7633561,433.6369888,3.213523138,-0.010275108,94453.62917,0.000129286,144.0941942,79.21569114
02/10/2023,12,301.6328704,517.7945776,2.083874076,1.19532719,100623.9004,0.000812622,116.2678741,84.32735334
02/10/2023,13,300.9857868,288.5595027,0.905841794,-2.248376343,98094.49972,0,231.8533818,64.13206978
02/10/2023,14,299.2466079,353.7846946,1.242192952,-1.111782017,98081.99308,0,236.5638547,68.00148953
02/10/2023,15,302.7052033,768.236459,1.517526003,2.1971167,98129.50633,0,254.4148979,43.29039669
02/10/2023,16,301.5793889,603.8408006,-3.271630279,-1.049641354,99762.71518,0.028108386,112.2356576,89.16559667
02/10/2023,17,300.2351666,496.8712299,1.195536988,-2.527739562,98196.29288,0,244.6011669,48.93505972
02/10/2023,18,299.321524,306.7812348,1.088668153,-0.650229722,98089.88065,0,238.1739351,63.39224825
02/10/2023,19,301.661032,612.0302953,-3.337165136,-0.960018622,99786.92691,0.026642189,116.0735123,88.89722875
02/10/2023,20,302.5976315,284.993394,2.046813271,-0.697942276,99863.50497,0,255.6084149,65.27398301
02/10/2023,21,302.1173827,231.0980778,0.210727384,0.051265437,98935.89231,0.05614181,173.3242708,87.01921109
02/10/2023,22,300.7039646,393.4732967,-1.762935408,2.289516133,100348.9457,0.015630561,113.2264972,91.59601392
02/10/2023,23,300.2015256,454.9136016,1.098595817,-2.509931625,98174.18373,0,244.1558677,49.89498308
02/10/2023,24,299.8836688,368.5003267,1.099548438,-0.932728569,100624.114,0.001266354,235.4340144,87.1975725
02/10/2023,25,301.6489215,271.5097349,-0.677093587,-0.268217907,99199.32477,0.009632024,161.9727594,85.86063638
02/10/2023,26,301.4661301,259.7585287,-0.620124151,-0.28784711,99183.39968,0.014461855,163.9749816,86.5626147
02/10/2023,27,297.8228905,548.2920175,3.25944406,-0.040321241,94096.30119,6.85E-05,216.0642672,79.14635881
02/10/2023,28,299.9056658,612.5514922,2.838116791,-1.993528017,94377.78038,1.21E-06,185.5028042,73.10469382
02/10/2023,29,299.8805238,362.8626794,1.749562128,-1.38967068,98115.0758,0,212.2927821,68.97652848
02/10/2023,30,300.9779591,349.620311,-1.126442446,-2.385355364,99651.62766,0.026361002,76.53709961,87.6787436
02/10/2023,31,302.1122421,387.8513377,0.549745139,-1.708124828,96987.08971,0.003588648,216.9754447,77.53808735
02/10/2023,32,300.236271,470.4923457,1.130816433,-2.50366584,98172.73326,0,244.2766441,49.4436978
02/10/2023,33,301.3464553,609.6287473,-1.011300325,-0.369546864,96382.99029,0,249.7330651,47.90839657
02/10/2023,34,298.680797,436.9283594,1.54273888,-1.473339515,97880.56929,0,244.4778188,62.91407864
02/10/2023,35,299.3601639,340.4037691,1.447651474,-2.114112632,98236.30242,0,234.2609269,58.11134975
02/10/2023,36,300.2319451,466.2332826,1.117717793,-2.504373614,98172.19468,0,244.247973,49.5517126
02/10/2023,37,300.8481728,488.7232106,-1.474922442,-2.892426982,99399.40862,0.01469576,81.58983521,90.19583434
02/10/2023,38,298.2989856,446.8209438,3.402801058,0.791942557,93748.86149,0.000286031,114.5363794,86.43750348
02/10/2023,39,298.2129543,809.4577765,3.860891601,-0.136419111,91362.99097,5.00E-05,249.9748227,68.84767694
02/10/2023,40,299.4740943,404.786882,3.795562528,0.909159082,99997.09371,0.029270137,138.2475927,89.3684509
02/10/2023,41,301.3418736,625.977271,-0.989775106,-0.457487921,96306.70328,0,249.850564,47.4822445
02/10/2023,42,298.5529242,392.4535951,1.595685867,-1.296901139,97898.2114,0,241.6927348,67.24679651
02/10/2023,43,300.2865417,489.8201071,1.145441335,-2.506162601,98177.19973,0,244.5146337,48.90055627
02/10/2023,44,301.3558415,625.917132,-0.971537727,-0.476138748,96316.10933,0,249.9630739,47.42188739
02/10/2023,45,300.7112406,393.8525244,-1.788913372,2.277578005,100346.2174,0.015478047,113.9830722,91.55775924
02/10/2023,46,299.1057536,322.1947647,-1.188778739,1.253920065,97026.4431,0.036803011,57.36060369,93.01078666
02/10/2023,47,301.6397553,609.6810939,-3.318238147,-0.987709257,99781.33035,0.027125694,114.9402945,88.965242
02/10/2023,48,296.5302521,365.398077,3.097563667,-0.016585802,93271.50275,1.65E-05,103.5660419,87.63426764
02/10/2023,49,302.944632,289.6284321,1.899395953,-0.539508235,100222.7439,0,255.1666298,66.0629539
02/10/2023,50,301.661032,612.0302953,-3.337165136,-0.960018622,99786.92691,0.026642189,116.0735123,88.89722875
02/10/2023,51,300.2920232,266.169146,0.464637856,-2.048088433,98735.15947,0,240.8609015,64.7782872
02/10/2023,52,300.0399815,410.4335275,0.990062664,-2.44923224,98253.59438,0,243.715099,51.73478624
02/10/2023,53,299.7515987,446.2157588,1.854570946,-1.971588071,98015.7066,0,245.7647264,51.85466113
02/10/2023,54,301.4439955,761.5645317,-0.933611788,-0.260764662,96140.5632,0,244.3933428,45.81718588
02/10/2023,55,300.6421912,520.0689474,0.987464196,-2.337532523,98107.81718,0,245.2704958,46.9886454
02/10/2023,56,300.2891334,485.7669954,1.132363099,-2.502558381,98173.54631,0,244.4720424,48.97373188
02/10/2023,57,301.3087692,636.2141333,-1.000412947,-0.479627773,96233.62239,0,249.7097507,47.32957986
02/10/2023,58,301.5852347,381.6035952,1.081080007,-0.541351042,97309.26552,0,253.1219032,55.06178673
02/10/2023,59,300.3734274,570.5570084,-0.217680596,-2.86734034,95241.55511,3.18E-05,228.3401236,63.47088753
02/10/2023,60,301.5653153,265.0407413,-0.64652001,-0.259571771,99190.74803,0.011891762,163.6484595,86.23694346
02/10/2023,61,300.745298,542.7159561,0.980959735,-2.367326351,98099.7219,0,245.3474925,46.26892453
02/10/2023,62,300.7230977,395.2635207,-1.843903221,2.247898494,100338.598,0.01521979,115.319183,91.50808384
